{'x': 9.01, 'y': 6.98, 't': 1649402741.71705}
{'x': 9.04, 'y': 6.94, 't': 1649402741.7758276}
{'x': 9.07, 'y': 6.95, 't': 1649402741.8738537}
{'x': 9.08, 'y': 6.92, 't': 1649402741.9763782}
{'x': 9.09, 'y': 6.89, 't': 1649402742.0745604}
{'x': 9.14, 'y': 6.9, 't': 1649402742.1748292}
{'x': 9.14, 'y': 6.86, 't': 1649402742.2748723}
{'x': 9.15, 'y': 6.86, 't': 1649402742.3767955}
{'x': 9.16, 'y': 6.91, 't': 1649402742.47202}
{'x': 9.26, 'y': 6.89, 't': 1649402742.5720215}
{'x': 9.26, 'y': 6.84, 't': 1649402743.2739484}
{'x': 9.26, 'y': 6.78, 't': 1649402743.3721988}
{'x': 9.29, 'y': 6.81, 't': 1649402743.4705532}
{'x': 9.27, 'y': 6.75, 't': 1649402743.571979}
{'x': 9.32, 'y': 6.79, 't': 1649402743.672021}
{'x': 9.31, 'y': 6.75, 't': 1649402743.7705886}
{'x': 9.3, 'y': 6.7, 't': 1649402743.8739364}
{'x': 9.31, 'y': 6.75, 't': 1649402743.9718516}
{'x': 9.32, 'y': 6.8, 't': 1649402744.071698}
{'x': 9.34, 'y': 6.82, 't': 1649402744.1715145}
{'x': 9.35, 'y': 6.81, 't': 1649402744.2715518}
{'x': 9.39, 'y': 6.82, 't': 1649402744.3712182}
{'x': 9.58, 'y': 6.82, 't': 1649402744.4721446}
{'x': 9.68, 'y': 6.85, 't': 1649402744.671641}
{'x': 9.68, 'y': 6.75, 't': 1649402744.7719707}
{'x': 9.68, 'y': 6.65, 't': 1649402744.871088}
{'x': 9.84, 'y': 6.74, 't': 1649402744.9709582}
{'x': 9.95, 'y': 6.78, 't': 1649402745.0719924}
{'x': 10.08, 'y': 6.82, 't': 1649402745.1720264}
{'x': 10.06, 'y': 6.71, 't': 1649402745.2747118}
{'x': 10.06, 'y': 6.61, 't': 1649402745.3681922}
{'x': 10.07, 'y': 6.62, 't': 1649402745.4720085}
{'x': 10.09, 'y': 6.59, 't': 1649402745.5713453}
{'x': 10.13, 'y': 6.55, 't': 1649402745.6720345}
{'x': 10.21, 'y': 6.49, 't': 1649402745.772006}
{'x': 10.28, 'y': 6.49, 't': 1649402745.8718488}
{'x': 10.35, 'y': 6.49, 't': 1649402745.9739578}
{'x': 10.43, 'y': 6.51, 't': 1649402746.0710328}
{'x': 10.52, 'y': 6.51, 't': 1649402746.171711}
{'x': 10.61, 'y': 6.54, 't': 1649402746.2746327}
{'x': 10.71, 'y': 6.59, 't': 1649402746.374785}
{'x': 10.94, 'y': 6.68, 't': 1649402746.4742482}
{'x': 11.01, 'y': 6.58, 't': 1649402746.5678487}
{'x': 11.08, 'y': 6.51, 't': 1649402746.673003}
{'x': 11.14, 'y': 6.67, 't': 1649402746.7713032}
{'x': 11.22, 'y': 6.57, 't': 1649402746.8720074}
{'x': 11.45, 'y': 6.68, 't': 1649402746.971022}
{'x': 11.51, 'y': 6.59, 't': 1649402747.074981}
{'x': 11.59, 'y': 6.53, 't': 1649402747.1758323}
{'x': 11.68, 'y': 6.47, 't': 1649402747.2728913}
{'x': 11.77, 'y': 6.45, 't': 1649402747.3709989}
{'x': 11.86, 'y': 6.49, 't': 1649402747.4681492}
{'x': 11.96, 'y': 6.52, 't': 1649402747.5740185}
{'x': 12.05, 'y': 6.54, 't': 1649402747.6744022}
{'x': 12.14, 'y': 6.56, 't': 1649402747.7723374}
{'x': 12.24, 'y': 6.48, 't': 1649402747.871251}
{'x': 12.84, 'y': 6.61, 't': 1649402747.970447}
{'x': 13.23, 'y': 6.41, 't': 1649402748.3740962}
{'x': 13.3, 'y': 6.35, 't': 1649402748.8738122}
{'x': 13.41, 'y': 6.36, 't': 1649402748.9741678}
{'x': 13.47, 'y': 6.32, 't': 1649402749.0676284}
{'x': 13.56, 'y': 6.29, 't': 1649402749.174433}
{'x': 13.65, 'y': 6.26, 't': 1649402749.2767432}
{'x': 14.02, 'y': 6.24, 't': 1649402749.376612}
{'x': 14.22, 'y': 6.35, 't': 1649402749.8729827}
{'x': 14.66, 'y': 6.47, 't': 1649402750.0716558}
{'x': 15.03, 'y': 6.75, 't': 1649402750.3755357}
{'x': 15.17, 'y': 6.84, 't': 1649402750.6737688}
{'x': 15.31, 'y': 6.91, 't': 1649402750.7754574}
{'x': 15.41, 'y': 7.01, 't': 1649402750.8746886}
{'x': 15.52, 'y': 7.05, 't': 1649402750.9764972}
{'x': 15.65, 'y': 7.13, 't': 1649402751.072564}
{'x': 16.18, 'y': 7.24, 't': 1649402751.1720083}
{'x': 16.45, 'y': 7.37, 't': 1649402751.6719933}
{'x': 16.52, 'y': 7.4, 't': 1649402751.973792}
{'x': 13.03, 'y': 10.26, 't': 1649402752.075487}
{'x': 12.93, 'y': 10.27, 't': 1649402758.273814}
{'x': 12.8, 'y': 10.29, 't': 1649402758.3729641}
{'x': 11.0, 'y': 10.51, 't': 1649402758.4719868}
{'x': 10.9, 'y': 10.51, 't': 1649402760.2729769}
{'x': 10.79, 'y': 10.54, 't': 1649402760.3726442}
{'x': 10.67, 'y': 10.53, 't': 1649402760.4719977}
{'x': 10.59, 'y': 10.54, 't': 1649402760.5725698}
{'x': 10.5, 'y': 10.56, 't': 1649402760.6720288}
{'x': 10.27, 'y': 10.59, 't': 1649402760.7716968}
{'x': 10.16, 'y': 10.52, 't': 1649402760.9739742}
{'x': 10.03, 'y': 10.54, 't': 1649402761.1714518}
{'x': 9.91, 'y': 10.56, 't': 1649402761.274891}
{'x': 9.8, 'y': 10.57, 't': 1649402761.3756897}
{'x': 9.68, 'y': 10.58, 't': 1649402761.472991}
{'x': 9.59, 'y': 10.61, 't': 1649402761.5713327}
{'x': 8.83, 'y': 10.64, 't': 1649402761.6716619}
{'x': 8.57, 'y': 10.69, 't': 1649402762.4729874}
{'x': 8.5, 'y': 10.67, 't': 1649402762.6724265}
{'x': 8.41, 'y': 10.66, 't': 1649402762.7677603}
{'x': 8.31, 'y': 10.65, 't': 1649402762.8716455}
{'x': 8.22, 'y': 10.65, 't': 1649402762.971977}
{'x': 8.1, 'y': 10.65, 't': 1649402763.0677505}
{'x': 7.99, 'y': 10.66, 't': 1649402763.172992}
