{'x': 4.49, 'y': 21.77, 't': 1649401803.709388}
{'x': 4.42, 'y': 21.9, 't': 1649401803.8074787}
{'x': 4.46, 'y': 21.97, 't': 1649401803.906106}
{'x': 4.47, 'y': 22.02, 't': 1649401804.0078523}
{'x': 4.46, 'y': 22.04, 't': 1649401804.1073544}
{'x': 4.48, 'y': 22.1, 't': 1649401804.208367}
{'x': 4.49, 'y': 22.23, 't': 1649401804.3064284}
{'x': 4.48, 'y': 22.36, 't': 1649401804.4082115}
{'x': 4.48, 'y': 22.48, 't': 1649401804.507515}
{'x': 4.48, 'y': 22.56, 't': 1649401804.600083}
{'x': 4.47, 'y': 22.53, 't': 1649401804.7035193}
{'x': 4.48, 'y': 22.54, 't': 1649401804.8073444}
{'x': 4.49, 'y': 22.57, 't': 1649401804.90819}
{'x': 4.49, 'y': 22.64, 't': 1649401805.0003536}
{'x': 4.48, 'y': 22.7, 't': 1649401805.1074553}
{'x': 4.45, 'y': 22.77, 't': 1649401805.207355}
{'x': 4.44, 'y': 22.89, 't': 1649401805.3072906}
{'x': 4.41, 'y': 23.03, 't': 1649401805.4073563}
{'x': 4.4, 'y': 23.15, 't': 1649401805.5096445}
{'x': 4.39, 'y': 23.27, 't': 1649401805.606417}
{'x': 4.37, 'y': 23.36, 't': 1649401805.7073572}
{'x': 4.35, 'y': 23.44, 't': 1649401805.8063943}
{'x': 4.33, 'y': 23.49, 't': 1649401805.909492}
{'x': 4.31, 'y': 23.54, 't': 1649401806.0064776}
{'x': 4.3, 'y': 23.61, 't': 1649401806.1062675}
{'x': 4.3, 'y': 23.67, 't': 1649401806.208388}
{'x': 4.27, 'y': 23.74, 't': 1649401806.306437}
{'x': 4.27, 'y': 23.83, 't': 1649401806.4074476}
{'x': 4.28, 'y': 23.9, 't': 1649401806.5063796}
{'x': 4.27, 'y': 23.99, 't': 1649401806.6066298}
{'x': 4.26, 'y': 24.06, 't': 1649401806.7082953}
{'x': 4.25, 'y': 24.14, 't': 1649401806.8073688}
{'x': 4.24, 'y': 24.21, 't': 1649401806.906385}
{'x': 4.25, 'y': 24.3, 't': 1649401807.0072021}
{'x': 4.25, 'y': 24.39, 't': 1649401807.109607}
{'x': 4.23, 'y': 24.57, 't': 1649401807.20736}
{'x': 4.25, 'y': 24.69, 't': 1649401807.309413}
{'x': 4.26, 'y': 24.84, 't': 1649401807.506869}
{'x': 4.27, 'y': 24.96, 't': 1649401807.6082876}
{'x': 4.27, 'y': 25.09, 't': 1649401807.7073905}
{'x': 4.28, 'y': 25.21, 't': 1649401807.8092442}
