{'lf': 712.9224652087474, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.624187906047, 'time': 1645542418.6852937, 'imu': 89.21698760986328}
{'lf': 711.9781312127236, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.1494252873563, 'time': 1645542418.8554869, 'imu': 89.21228790283203}
{'lf': 711.9781312127236, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 300.199900049975, 'time': 1645542419.02528, 'imu': 89.2171401977539}
{'lf': 711.9781312127236, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.624187906047, 'time': 1645542419.1951716, 'imu': 89.21208190917969}
{'lf': 712.9224652087474, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 302.09895052473763, 'time': 1645542419.365305, 'imu': 89.21131134033203}
{'lf': 712.9224652087474, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.1494252873563, 'time': 1645542419.535328, 'imu': 89.2059555053711}
{'lf': 710.5616302186878, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.624187906047, 'time': 1645542419.7054303, 'imu': 89.2030258178711}
{'lf': 712.9224652087474, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.624187906047, 'time': 1645542419.8754845, 'imu': 89.20096588134766}
{'lf': 711.0337972166998, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 302.09895052473763, 'time': 1645542420.045126, 'imu': 89.20399475097656}
{'lf': 705.3677932405566, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.1494252873563, 'time': 1645542420.2151823, 'imu': 89.20247650146484}
{'lf': 711.0337972166998, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.624187906047, 'time': 1645542420.3851511, 'imu': 89.20999908447266}
{'lf': 711.0337972166998, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 301.1494252873563, 'time': 1645542420.5552576, 'imu': 89.2094955444336}
{'lf': 711.0337972166998, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 302.09895052473763, 'time': 1645542420.7251828, 'imu': 89.20881652832031}
