{'lf': 747.3906560636183, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.6951524237881, 'time': 1645542668.5452464, 'imu': 88.2100601196289}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542668.7152243, 'imu': 88.21004486083984}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542668.8853707, 'imu': 88.21005249023438}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542669.055369, 'imu': 88.2101058959961}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542669.225552, 'imu': 88.21014404296875}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542669.3954253, 'imu': 88.21018981933594}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542669.5654106, 'imu': 88.21006774902344}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 308.7456271864068, 'time': 1645542669.7353966, 'imu': 88.20997619628906}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542669.9054072, 'imu': 88.2099609375}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.6951524237881, 'time': 1645542670.075541, 'imu': 88.20996856689453}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.6951524237881, 'time': 1645542670.2456334, 'imu': 88.2101058959961}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 310.6446776611694, 'time': 1645542670.4154801, 'imu': 88.21024322509766}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 308.7456271864068, 'time': 1645542670.5855157, 'imu': 88.21023559570312}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 310.6446776611694, 'time': 1645542670.755566, 'imu': 88.21004486083984}
{'lf': 747.3906560636183, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542670.925499, 'imu': 88.21012115478516}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 309.22038980509745, 'time': 1645542671.095986, 'imu': 88.21018981933594}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 308.7456271864068, 'time': 1645542671.2655487, 'imu': 88.21019744873047}
{'lf': 746.9184890656063, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 308.7456271864068, 'time': 1645542671.435454, 'imu': 88.21092224121094}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 311.11944027986004, 'time': 1645542671.6053424, 'imu': 88.21104431152344}
{'lf': 746.4463220675945, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 609.7451274362819, 'time': 1645542671.77553, 'imu': 88.21125793457031}
