{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542504.0952675, 'imu': 88.93363189697266}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 339.60519740129934, 'time': 1645542504.265658, 'imu': 88.93817138671875}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542504.44528, 'imu': 88.93596649169922}
{'lf': 749.7514910536779, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542504.6154735, 'imu': 88.93643188476562}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542504.795438, 'imu': 88.93208312988281}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 339.60519740129934, 'time': 1645542504.965351, 'imu': 88.93145751953125}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542505.1358058, 'imu': 88.93376922607422}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542505.3153484, 'imu': 88.93195343017578}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542505.4852428, 'imu': 88.93523406982422}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542505.6552577, 'imu': 88.9342041015625}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 339.60519740129934, 'time': 1645542505.825456, 'imu': 88.9272232055664}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542506.0054386, 'imu': 88.9287338256836}
{'lf': 747.3906560636183, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542506.1859539, 'imu': 88.92933654785156}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542506.365613, 'imu': 88.92384338378906}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542506.5354807, 'imu': 88.9178695678711}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542506.7058423, 'imu': 88.9175796508789}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542506.8752365, 'imu': 88.91352844238281}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.07996001999, 'time': 1645542507.0455024, 'imu': 88.91020202636719}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542507.215516, 'imu': 88.91546630859375}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542507.3854299, 'imu': 88.89814758300781}
{'lf': 747.3906560636183, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 341.504247876062, 'time': 1645542507.5554013, 'imu': 88.87694549560547}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542507.725453, 'imu': 88.83293151855469}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 341.504247876062, 'time': 1645542507.8953352, 'imu': 88.7767105102539}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 340.55472263868063, 'time': 1645542508.0653465, 'imu': 88.67437744140625}
{'lf': 748.3349900596421, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 341.504247876062, 'time': 1645542508.2353635, 'imu': 88.65744018554688}
{'lf': 755.417495029821, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 746.0019990004997, 'time': 1645542508.4057167, 'imu': 88.78128814697266}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 746.4767616191904, 'time': 1645542508.575279, 'imu': 89.05199432373047}
{'lf': 746.9184890656063, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 754.5477261369315, 'time': 1645542508.745408, 'imu': 89.28400421142578}
{'lf': 753.5288270377733, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 757.8710644677661, 'time': 1645542508.915296, 'imu': 89.61683654785156}
{'lf': 745.0298210735587, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 753.1234382808595, 'time': 1645542509.08531, 'imu': 89.96543884277344}
{'lf': 747.3906560636183, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 760.71964017991, 'time': 1645542509.255426, 'imu': 90.3075180053711}
{'lf': 742.668986083499, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 762.6186906546726, 'time': 1645542509.4254677, 'imu': 90.65740966796875}
{'lf': 744.5576540755467, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 765.4672663668166, 'time': 1645542509.5954826, 'imu': 91.0557632446289}
{'lf': 739.8359840954274, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 762.6186906546726, 'time': 1645542509.7652452, 'imu': 91.4909896850586}
{'lf': 735.58648111332, 'rf': 1231.20764017252, 'rb': 1240.5882352941178, 'lb': 768.7906046976511, 'time': 1645542509.9352584, 'imu': 91.82840728759766}
{'lf': 728.5039761431411, 'rf': 1231.7929759704252, 'rb': 1240.5882352941178, 'lb': 764.5177411294353, 'time': 1645542510.1058495, 'imu': 92.18290710449219}
{'lf': 723.7823061630219, 'rf': 1228.8662969808997, 'rb': 1240.5882352941178, 'lb': 764.0429785107447, 'time': 1645542510.2754202, 'imu': 92.46104431152344}
{'lf': 720.0049701789264, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 765.4672663668166, 'time': 1645542510.4453032, 'imu': 92.7387466430664}
{'lf': 715.2833001988071, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 764.0429785107447, 'time': 1645542510.6153245, 'imu': 92.98223114013672}
{'lf': 711.9781312127236, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 760.71964017991, 'time': 1645542510.785455, 'imu': 93.04244232177734}
{'lf': 708.2007952286282, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 755.9720139930035, 'time': 1645542510.9555619, 'imu': 92.72433471679688}
{'lf': 708.6729622266402, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 746.4767616191904, 'time': 1645542511.125561, 'imu': 92.25592041015625}
{'lf': 705.8399602385686, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 736.9815092453773, 'time': 1645542511.2954838, 'imu': 91.69100189208984}
{'lf': 704.8956262425447, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 725.1124437781109, 'time': 1645542511.4652612, 'imu': 91.22916412353516}
{'lf': 703.9512922465209, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 725.1124437781109, 'time': 1645542511.635274, 'imu': 90.7205581665039}
{'lf': 703.9512922465209, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 716.5667166416791, 'time': 1645542511.8053837, 'imu': 90.29234313964844}
{'lf': 709.617296222664, 'rf': 1232.3783117683304, 'rb': 1239.4117647058824, 'lb': 717.9910044977511, 'time': 1645542511.9755006, 'imu': 89.9088363647461}
{'lf': 700.1739562624255, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 713.2433783108446, 'time': 1645542512.145315, 'imu': 89.40364837646484}
{'lf': 716.227634194831, 'rf': 1232.3783117683304, 'rb': 1235.2941176470588, 'lb': 708.0209895052474, 'time': 1645542512.3154533, 'imu': 89.0058822631836}
{'lf': 720.4771371769383, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 711.8190904547727, 'time': 1645542512.4854684, 'imu': 88.57299041748047}
{'lf': 722.8379721669979, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 700.4247876061969, 'time': 1645542512.655204, 'imu': 88.253662109375}
{'lf': 726.1431411530815, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 702.3238380809595, 'time': 1645542512.825477, 'imu': 87.77699279785156}
{'lf': 726.1431411530815, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 700.8995502248875, 'time': 1645542512.995459, 'imu': 87.35006713867188}
{'lf': 728.5039761431411, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 703.2733633183408, 'time': 1645542513.1653507, 'imu': 86.92387390136719}
{'lf': 739.3638170974154, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 702.3238380809595, 'time': 1645542513.335277, 'imu': 86.56614685058594}
{'lf': 745.9741550695825, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 707.0714642678661, 'time': 1645542513.5054033, 'imu': 86.12948608398438}
{'lf': 748.8071570576541, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 713.2433783108446, 'time': 1645542513.6754353, 'imu': 85.70809173583984}
{'lf': 759.1948310139164, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 714.6676661669165, 'time': 1645542513.845455, 'imu': 85.29869842529297}
{'lf': 765.3330019880715, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 717.0414792603698, 'time': 1645542514.0155687, 'imu': 84.83778381347656}
{'lf': 770.5268389662027, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 720.3648175912044, 'time': 1645542514.18557, 'imu': 84.4375991821289}
{'lf': 777.1371769383697, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 726.0619690154922, 'time': 1645542514.355771, 'imu': 83.99967193603516}
{'lf': 786.1083499005964, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 725.1124437781109, 'time': 1645542514.5252595, 'imu': 83.54212188720703}
{'lf': 797.9125248508946, 'rf': 1216.5742452248924, 'rb': 1240.5882352941178, 'lb': 731.7591204397801, 'time': 1645542514.6954079, 'imu': 83.16524505615234}
{'lf': 805.4671968190854, 'rf': 1208.3795440542206, 'rb': 1240.5882352941178, 'lb': 736.5067466266867, 'time': 1645542514.8654132, 'imu': 82.90589141845703}
{'lf': 816.7992047713717, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 741.7291354322839, 'time': 1645542515.035305, 'imu': 82.5649642944336}
{'lf': 824.3538767395626, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 746.4767616191904, 'time': 1645542515.2053778, 'imu': 82.3360824584961}
{'lf': 834.269383697813, 'rf': 1187.8927911275416, 'rb': 1240.5882352941178, 'lb': 753.5982008995502, 'time': 1645542515.3757625, 'imu': 82.07046508789062}
{'lf': 842.7683896620277, 'rf': 1182.6247689463958, 'rb': 1240.5882352941178, 'lb': 759.2953523238381, 'time': 1645542515.5553346, 'imu': 81.91834259033203}
{'lf': 845.6013916500993, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 765.4672663668166, 'time': 1645542515.7251217, 'imu': 82.05903625488281}
{'lf': 847.962226640159, 'rf': 1187.3074553296365, 'rb': 1240.5882352941178, 'lb': 776.8615692153923, 'time': 1645542515.8952568, 'imu': 82.66014862060547}
{'lf': 851.2673956262425, 'rf': 1127.6032039433148, 'rb': 1240.5882352941178, 'lb': 783.9830084957521, 'time': 1645542516.0654042, 'imu': 83.07273864746094}
{'lf': 854.572564612326, 'rf': 1232.3783117683304, 'rb': 1224.7058823529412, 'lb': 793.9530234882559, 'time': 1645542516.2356179, 'imu': 83.56988525390625}
{'lf': 850.7952286282306, 'rf': 752.9882932840419, 'rb': 1240.5882352941178, 'lb': 802.4987506246877, 'time': 1645542516.4156377, 'imu': 84.05864715576172}
{'lf': 859.7664015904572, 'rf': 659.3345656192237, 'rb': 1207.0588235294117, 'lb': 809.6201899050475, 'time': 1645542516.5853956, 'imu': 84.46283721923828}
{'lf': 856.9333996023856, 'rf': 614.849044978435, 'rb': 1240.5882352941178, 'lb': 813.8930534732633, 'time': 1645542516.7553916, 'imu': 84.91459655761719}
{'lf': 857.4055666003976, 'rf': 593.7769562538509, 'rb': 1189.4117647058824, 'lb': 823.3883058470765, 'time': 1645542516.925565, 'imu': 85.37322998046875}
{'lf': 857.8777335984095, 'rf': 568.607516943931, 'rb': 1220.0, 'lb': 822.4387806096952, 'time': 1645542517.0954485, 'imu': 85.78435516357422}
{'lf': 866.3767395626243, 'rf': 597.2889710412816, 'rb': 1240.5882352941178, 'lb': 829.560219890055, 'time': 1645542517.2654645, 'imu': 86.25165557861328}
{'lf': 863.0715705765407, 'rf': 628.8971041281578, 'rb': 1127.6470588235295, 'lb': 834.3078460769615, 'time': 1645542517.4354835, 'imu': 86.73689270019531}
{'lf': 859.2942345924453, 'rf': 692.6987060998152, 'rb': 1240.5882352941178, 'lb': 848.5507246376811, 'time': 1645542517.6052616, 'imu': 87.26051330566406}
{'lf': 853.1560636182902, 'rf': 803.9125077017869, 'rb': 815.8823529411765, 'lb': 846.1769115442279, 'time': 1645542517.775416, 'imu': 87.70669555664062}
{'lf': 866.8489065606361, 'rf': 1232.3783117683304, 'rb': 700.0, 'lb': 847.6011994002998, 'time': 1645542517.9454308, 'imu': 88.10568237304688}
{'lf': 855.044731610338, 'rf': 1084.8736906962415, 'rb': 637.0588235294118, 'lb': 850.4497751124437, 'time': 1645542518.1155689, 'imu': 88.5389404296875}
