{'x': 4.41, 'y': 4.99, 'z': 0.61}
{'x': 4.39, 'y': 5.02, 'z': 0.67}
{'x': 4.41, 'y': 4.91, 'z': 0.39}
{'x': 4.38, 'y': 4.95, 'z': 0.52}
{'x': 4.34, 'y': 4.97, 'z': 0.6}
{'x': 4.32, 'y': 4.96, 'z': 0.62}
{'x': 4.29, 'y': 4.93, 'z': 0.68}
{'x': 4.27, 'y': 4.97, 'z': 0.8}
{'x': 4.25, 'y': 4.99, 'z': 0.85}
{'x': 4.25, 'y': 5.0, 'z': 0.89}
{'x': 4.21, 'y': 4.99, 'z': 0.94}
{'x': 4.16, 'y': 4.99, 'z': 0.99}
{'x': 4.13, 'y': 5.0, 'z': 1.07}
{'x': 4.22, 'y': 4.91, 'z': 0.65}
{'x': 4.18, 'y': 4.96, 'z': 0.57}
{'x': 4.18, 'y': 4.96, 'z': 0.39}
{'x': 4.17, 'y': 4.92, 'z': 0.34}
{'x': 4.14, 'y': 4.93, 'z': 0.29}
{'x': 4.09, 'y': 4.93, 'z': 0.34}
{'x': 4.02, 'y': 4.94, 'z': 0.67}
{'x': 3.99, 'y': 4.89, 'z': 0.83}
{'x': 3.97, 'y': 4.89, 'z': 0.91}
{'x': 3.94, 'y': 4.86, 'z': 0.93}
{'x': 3.88, 'y': 4.9, 'z': 0.93}
{'x': 3.87, 'y': 4.92, 'z': 0.88}
{'x': 3.85, 'y': 4.92, 'z': 0.78}
{'x': 3.84, 'y': 4.88, 'z': 0.47}
{'x': 3.82, 'y': 4.91, 'z': 0.54}
{'x': 3.8, 'y': 4.92, 'z': 0.58}
{'x': 3.75, 'y': 4.93, 'z': 0.61}
{'x': 3.73, 'y': 4.92, 'z': 0.64}
{'x': 3.71, 'y': 4.92, 'z': 0.75}
{'x': 3.68, 'y': 4.9, 'z': 0.75}
{'x': 3.67, 'y': 4.85, 'z': 0.78}
{'x': 3.62, 'y': 4.88, 'z': 0.85}
{'x': 3.6, 'y': 4.88, 'z': 0.76}
{'x': 3.56, 'y': 4.9, 'z': 0.95}
{'x': 3.52, 'y': 4.92, 'z': 1.0}
{'x': 3.49, 'y': 4.92, 'z': 0.94}
{'x': 3.45, 'y': 4.92, 'z': 0.84}
{'x': 3.43, 'y': 4.9, 'z': 0.56}
{'x': 3.48, 'y': 4.84, 'z': 0.19}
{'x': 3.45, 'y': 4.84, 'z': 0.18}
{'x': 3.43, 'y': 4.87, 'z': 0.37}
{'x': 3.42, 'y': 4.93, 'z': 0.56}
{'x': 3.4, 'y': 4.84, 'z': 0.28}
{'x': 3.38, 'y': 4.84, 'z': 0.35}
{'x': 3.36, 'y': 4.81, 'z': 0.21}
{'x': 3.39, 'y': 4.76, 'z': -0.07}
{'x': 3.33, 'y': 4.78, 'z': 0.39}
{'x': 3.31, 'y': 4.82, 'z': 0.65}
{'x': 3.29, 'y': 4.8, 'z': 0.83}
{'x': 3.28, 'y': 4.75, 'z': 0.83}
{'x': 3.28, 'y': 4.77, 'z': 0.93}
{'x': 3.33, 'y': 4.73, 'z': 1.04}
{'x': 3.33, 'y': 4.61, 'z': 0.63}
{'x': 3.28, 'y': 4.75, 'z': 0.78}
{'x': 3.25, 'y': 4.67, 'z': 0.66}
{'x': 3.23, 'y': 4.81, 'z': 0.86}
{'x': 3.18, 'y': 4.79, 'z': 0.88}
{'x': 3.16, 'y': 4.79, 'z': 0.88}
{'x': 3.13, 'y': 4.8, 'z': 0.9}
{'x': 3.07, 'y': 4.86, 'z': 1.05}
{'x': 3.08, 'y': 4.81, 'z': 1.09}
{'x': 3.06, 'y': 4.85, 'z': 0.97}
{'x': 3.06, 'y': 4.9, 'z': 0.4}
{'x': 3.04, 'y': 4.94, 'z': 0.71}
{'x': 3.0, 'y': 4.86, 'z': 0.84}
{'x': 2.98, 'y': 4.81, 'z': 0.88}
{'x': 2.95, 'y': 4.74, 'z': 0.88}
{'x': 2.91, 'y': 4.7, 'z': 0.86}
